,Item,Group,tonnage,Pasture_m2,Arable_m2,Scarcity_weighted_water_l,ghg_food,ghg_feed,ghg_total,bd_opp_food,bd_opp_feed,bd_opp_total,bd_opp_food_err,bd_opp_feed_err,bd_opp_total_err,Cons,Cons_err,primary_tonnage
48,Groundnuts; excluding shelled,"Legumes, beans, nuts",135623.00999999998,0.0,404820236.08781505,3310499382.9793,437539620.9895059,0.0,437539620.9895059,0.021137841496592473,0.0,0.021137841496592473,0.005804328114409185,0.0,0.005804328114409185,135623.00999999998,14250.365621668521,135623.00999999998
49,Hazelnuts; in shell,"Legumes, beans, nuts",3169.31,0.0,33546697.706121817,180080554.34379998,3791402.266383602,0.0,3791402.266383602,0.0020557101815260504,0.0,0.0020557101815260504,0.00031076530524782865,0.0,0.00031076530524782865,3169.31,270.6844291924369,3169.31
50,Hempseed,"Legumes, beans, nuts",962.0798828064969,0.0,10363710.050625628,23294371.654556803,1158848.3398302342,0.0,1158848.3398302342,0.00028114392468341526,0.0,0.00028114392468341526,8.351504249957226e-05,0.0,8.351504249957226e-05,962.0798828064968,76.56972846421122,1693.205587557678
51,Hen eggs in shell; fresh,Dairy and eggs,1909626.3312582024,0.0,2194438529.144602,14875022587.791365,3666664416.757421,1850346930.5846562,5517011347.342077,0.0,0.04761703174976344,0.04761703174976344,0.0,0.007335233811796543,0.007335233811796543,807105.9600000001,22935.011480953402,807105.9600000001
52,Horse meat; fresh or chilled,Ruminant meat,21494.94045242989,345500419.1943168,31361107.116402894,161135799.36349887,171326471.9018658,26826696.655636307,198153168.55750212,0.0010065210381960967,0.0006696668912165828,0.0016761879294126796,0.00019351968274654974,9.184757372022855e-05,0.0002853672564667783,5647.75,1.7529172456721442,5647.750000000001
53,Kiwi fruit,Fruit and vegetables,30985.39,0.0,15206463.890413648,1840814705.4509,30443365.538229328,0.0,30443365.538229328,0.0013460802938876691,0.0,0.0013460802938876691,0.0002532550474352351,0.0,0.0002532550474352351,30985.390000000003,3570.7383914337315,31012.854134658406
54,Leeks and other alliaceous vegetables,Fruit and vegetables,55882.17422199314,0.0,27032196.661902986,644110793.1700954,23383469.629657585,0.0,23383469.629657585,0.00016409322355183056,0.0,0.00016409322355183056,4.649396182913297e-05,0.0,4.649396182913297e-05,55882.17422199314,1375.9991513999364,56597.7629666809
55,Lemons and limes,Fruit and vegetables,148914.9,0.0,71024183.47054052,7244774563.3308,53596979.48971805,0.0,53596979.48971805,0.012142629977553146,0.0,0.012142629977553146,0.003207241594366603,0.0,0.003207241594366603,148914.90000000002,4267.825521275972,148914.90000000002
56,Lentils; dry,"Legumes, beans, nuts",339.7131653695999,0.0,3628632.705321898,6825040.583171976,542505.1911152292,0.0,542505.1911152292,5.1389248881602046e-05,0.0,5.1389248881602046e-05,5.269540654322889e-05,0.0,5.269540654322889e-05,339.7131653695999,112.45871863982102,25511.46506023852
57,Lettuce and chicory,Fruit and vegetables,309483.0982145121,0.0,112201960.67242663,15201173839.308414,193551912.2144796,0.0,193551912.2144796,0.0018711377062280313,0.0,0.0018711377062280313,0.0005950235967158735,0.0,0.0005950235967158735,309483.09821451205,2180.4920515950053,313842.19195007416
58,Linseed,"Legumes, beans, nuts",44110.33014969101,0.0,341547538.68679523,481690047.2739285,57031103.94750163,0.0,57031103.94750163,0.0010261635420241626,0.0,0.0010261635420241626,0.0009097118072202152,0.0,0.0009097118072202152,44110.33014969101,6409.388212766937,79705.48226321887
59,Locust beans (carobs),Fruit and vegetables,32.76568302183772,0.0,92250.94224964279,2135833.0004588217,49080.54880652952,0.0,49080.54880652952,4.765280016303095e-06,0.0,4.765280016303095e-06,2.3877721548133166e-06,0.0,2.3877721548133166e-06,32.765683021837724,8.832252508372466,36.771210291988716
